run,kB,reclen,write,rewrite,read,reread,rand_read,rand_write,bkwd_read,rec_rewrite,strd_read,fwrite,frewrite,fread,freread
1,2097152,16384,109148,110033,118378,120070,114582,102299,115139,106420,116129,1871414,2868555,6700443,5428675
2,2097152,16384,90216,107640,119235,119688,114219,99438,116390,96236,115482,1839610,2734383,6470137,5226129
3,2097152,16384,108115,108764,119038,119490,114636,101425,115954,100672,117978,1874413,2872857,6465843,5462299
4,2097152,16384,107529,107795,118800,119363,114583,98877,115807,94435,116053,1843735,2769006,6235790,5279838
5,2097152,16384,109358,108722,118805,119086,114064,100617,115119,93467,116126,1874718,2805637,6430673,5374141
6,2097152,16384,109077,108528,119005,119456,114375,101596,115606,102051,115911,1872405,2807947,6439637,5402176
7,2097152,16384,109167,109054,118225,119684,114169,101435,114785,97124,114109,1868371,2808402,6447775,5465771
8,2097152,16384,109384,107962,119076,119641,114897,100408,116145,102369,115079,1861648,2789533,6419921,5402787
9,2097152,16384,107288,107642,118014,119356,113964,100492,115110,99046,104908,1864851,2906957,6369116,5349670
10,2097152,16384,110391,109212,118861,120165,114741,100184,115675,94728,114306,1871429,2885379,6761233,5433951
