run,kB,reclen,write,rewrite,read,reread,rand_read,rand_write,bkwd_read,rec_rewrite,strd_read,fwrite,frewrite,fread,freread
1,2097152,16384,117292,118016,121369,121839,115794,106997,116537,116852,116681,1838085,2796206,6271067,5310672
2,2097152,16384,117765,117607,121434,121609,115954,107625,116738,125060,116400,1845720,2822287,6211742,5264357
3,2097152,16384,118231,116168,121641,122053,116228,109075,116890,103319,116511,1832562,2780451,6521098,5270748
4,2097152,16384,118250,117546,121301,121476,115745,108275,116475,103146,116497,1848072,2769991,6733207,5402315
5,2097152,16384,118581,117223,121545,121957,116435,108283,116997,101989,116825,1844687,2814682,6523327,5271279
6,2097152,16384,117556,116747,121456,121574,115877,106983,116894,107455,115927,1836647,2787342,6556836,5289922
7,2097152,16384,118144,117064,121146,121554,116113,107530,116632,105850,115825,1834903,2780450,6614450,5307820
8,2097152,16384,118034,118380,121701,121878,116269,108227,115941,99244,116518,1845009,2874302,6401349,5403208
9,2097152,16384,117730,117744,121229,121991,115949,109786,116181,113550,116252,1850690,2873024,6748182,5362958
10,2097152,16384,116853,117686,121511,121981,116342,108416,116836,102999,116579,1797566,2742077,6502999,5254900
